Id_Proveedor,Nombre,Telefono,Correo,Ciudad
PRO01,Soc. Agricola Oasis Ltda.,512239730,socio.agricola@gmail.com,Coquimbo
PRO02,Exportadora Rio Blanco Ltda,222061136,rioblanco@gmail.com,Santiago
PRO03,Fruticola Rio Blanco Spa,512242415,fruticolarioblanco@rioblanco.cl,Coquimbo
PRO04,Empresa Agricola Hc Limitada,5128061151,agri.hc@gmail.com,Coquimbo
PRO05,Italcal Ltda,5127069352,italcalltda@gmail.com,La Serena
PRO06,Agrinor Ltda,5121041827,agrinorltda@gmail.com,Ovalle
PRO07,Agrocomercial Polanco,5121041835,agrocomercialpolanco@gmail.com,Ovalle
PRO08,La Nortina,5121051827,lanortina@gmail.com,La Serena
PRO09,Agricola Copiapo Lttda.,5121041792,agricolacopiapoltda@gmail.com,Copiapó
PRO10,Agroelqui,5123758903,agroelqui@gmail.com,Coquimbo
PRO11,Norfrut,5126836245,norfrut@gmail.com,Coquimbo
